id,elevation,capture_time,file_name,Y,X,Z,time
1286,823.7999878,2019-04-28T18:03:11.000Z,activity_3599697933.gpx,5481562.93,473937.277,823.7999878,1556474591000
1287,824,2019-04-28T18:03:12.000Z,activity_3599697933.gpx,5481561.736,473937.5566,824,1556474592000
1288,824.5999756,2019-04-28T18:03:19.000Z,activity_3599697933.gpx,5481551.995,473938.1718,824.5999756,1556474599000
1289,824.7999878,2019-04-28T18:03:21.000Z,activity_3599697933.gpx,5481550.366,473937.9334,824.7999878,1556474601000
1290,825.2000122,2019-04-28T18:03:25.000Z,activity_3599697933.gpx,5481544.851,473937.5185,825.2000122,1556474605000
1291,825.5999756,2019-04-28T18:03:32.000Z,activity_3599697933.gpx,5481539.159,473935.2754,825.5999756,1556474612000
1292,825.7999878,2019-04-28T18:03:33.000Z,activity_3599697933.gpx,5481539.44,473934.9125,825.7999878,1556474613000
1293,826,2019-04-28T18:03:40.000Z,activity_3599697933.gpx,5481536.146,473935.7831,826,1556474620000
1294,826,2019-04-28T18:03:44.000Z,activity_3599697933.gpx,5481536.005,473936.001,826,1556474624000
1295,826.2000122,2019-04-28T18:03:50.000Z,activity_3599697933.gpx,5481532.964,473936.63,826.2000122,1556474630000
